id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,20029,44143,1835,58632,5443
0500000US,20031,58636,3782,74259,3160
0500000US,20033,56912,4100,68814,7810
0500000US,20035,48087,1792,60785,2212
0500000US,20037,40174,1415,55176,2202
0500000US,20039,44104,4161,57986,6189
0500000US,20041,48167,3545,62191,3879
0500000US,20043,49338,3952,62436,4058
0500000US,20045,55832,2064,75291,2489
0500000US,20047,49293,3364,60933,3743
0500000US,20049,38494,2496,50275,3863
0500000US,20051,52700,4242,71720,6266
0500000US,20053,48188,4498,59695,4236
0500000US,20055,56573,3623,69499,3492
0500000US,20057,53072,2421,69260,3121
0500000US,20059,55486,2842,67406,3666
0500000US,20061,49185,2156,58682,2365
0500000US,20063,48894,3918,61991,4278
0500000US,20065,40769,3891,54400,4622
0500000US,20067,55455,9500,70865,7225
0500000US,20069,64426,2378,78289,4768
0500000US,20071,51250,8034,56567,5738
0500000US,20073,42595,2875,61562,4852
0500000US,20075,45000,8976,56704,5306
0500000US,20077,49455,4800,62197,4959
0500000US,20079,56051,2814,68264,2864
0500000US,20081,53527,5094,73119,7966
0500000US,20083,53854,6908,65909,5144
0500000US,20085,55904,3009,69162,3947
0500000US,20087,61793,2528,72391,2795
0500000US,20089,42552,5114,56855,8248
0500000US,20091,84915,913,114336,1625
0500000US,20093,51314,5111,68402,8769
0500000US,20095,58483,3993,79157,7320
0500000US,20097,51336,4714,63940,5913
0500000US,20099,47668,3485,57795,3018
0500000US,20101,51719,11522,59335,6537
0500000US,20103,71184,2277,87727,4186
0500000US,20105,46196,5221,61721,5642
0500000US,20107,43699,6469,57835,4020
0500000US,20109,51597,3191,67441,7274
0500000US,20111,44191,3806,63361,3981
0500000US,20113,57765,3206,71144,3014
0500000US,20115,51262,3013,63379,4024
0500000US,20117,50234,2722,63512,3765
0500000US,20119,55568,3521,66672,5284
0500000US,20121,69150,4161,84525,3987
0500000US,20123,45221,4006,57415,4524
0500000US,20125,45173,2772,57590,3274
0500000US,20127,50352,6012,65778,4795
0500000US,20129,43925,5114,56687,5021
