id,FIPS,Total households!!Median household income (dollars),Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Total households!!Mean household income (dollars)
0500000US,35013,35262,3698,57752,3837
0500000US,35061,46493,5456,59940,6646
0500000US,36065,54593,2362,70456,2589
0500000US,36075,54264,3739,72834,4920
0500000US,36081,69320,1781,89633,1572
0500000US,36085,82166,5148,101953,3677
0500000US,36101,55569,3106,69932,4119
0500000US,36119,94811,3474,151637,4174
0500000US,37097,59341,3233,83901,4241
0500000US,37109,63782,8483,84538,7451
0500000US,37147,42481,2030,59322,3855
0500000US,38017,62418,6561,93453,8279
0500000US,38101,65719,5194,74018,4971
0500000US,39101,43008,3378,54542,4624
0500000US,39173,63695,5142,82558,5196
0500000US,41051,71186,1842,96037,2751
0500000US,41071,60893,4626,82789,9008
0500000US,42003,59899,1518,85453,1667
0500000US,42011,62564,1967,82342,3396
0500000US,42021,45084,3675,58267,2246
0500000US,42071,66277,1352,85427,2892
0500000US,42107,48458,3353,63833,3413
0500000US,42129,58471,2488,77136,2745
0500000US,45035,66438,5439,84182,6353
0500000US,45083,53581,2745,69330,3197
0500000US,47155,47411,5282,60363,4012
0500000US,48099,46131,7895,57297,4010
0500000US,48231,55248,7653,71428,5129
0500000US,48339,76929,3106,111239,4879
0500000US,48367,72004,8476,99408,8210
0500000US,48485,47373,3755,64535,4879
0500000US,51015,59820,4497,73684,6319
0500000US,51087,68069,2848,94827,3809
0500000US,51121,51932,5064,67628,4843
0500000US,51550,80265,4113,95985,5328
0500000US,51650,55466,2859,70520,4000
0500000US,51760,48987,2137,75435,3598
0500000US,51770,42711,5665,65219,7322
0500000US,53029,64793,5553,87194,5784
0500000US,54011,38162,3504,56132,4603
0500000US,55027,63077,5268,75589,5260
0500000US,55035,60475,3385,74606,4430
0500000US,55039,57415,4122,71256,5694
0500000US,55063,60905,3798,80992,5241
0500000US,55141,55273,3810,69755,4987
0500000US,72061,36309,5073,57444,6173
0500000US,01049,36998,4416,57354,6313
0500000US,01073,55206,1872,78690,2454
0500000US,04013,65252,806,89077,1234
0500000US,04025,48148,2862,65373,3713
0500000US,05069,35652,4936,53235,5827
0500000US,05145,42270,4648,62733,6549
0500000US,06007,51652,3471,72948,3921
0500000US,06017,82742,5957,108803,5637
0500000US,06025,48984,5118,60686,4133
0500000US,06029,51579,1968,71441,2352
0500000US,06041,126373,7822,172907,8754
0500000US,06047,57745,3382,76713,5124
0500000US,06079,71148,3925,96520,4588
0500000US,06081,124425,4666,176077,5098
0500000US,08014,95800,12625,120782,7892
0500000US,09011,67197,3348,88552,3058
0500000US,12009,57888,2522,75604,2266
0500000US,12035,58963,4145,78065,5660
0500000US,12071,56129,1578,80438,2758
0500000US,12105,51670,1735,67367,2176
0500000US,17019,52725,2147,72991,4604
0500000US,17091,51404,4829,68548,4904
0500000US,17167,61997,3749,79986,3246
0500000US,17201,53345,2324,70435,2962
0500000US,18005,62047,5285,74914,5324
0500000US,18057,100209,3812,132032,8159
0500000US,19153,68291,2788,88187,2807
0500000US,20209,47285,2643,58859,2965
0500000US,21029,58119,5591,70387,4302
0500000US,21111,55851,1522,79454,2577
0500000US,21151,52047,3657,71595,6288
0500000US,22015,55922,5906,71722,5139
0500000US,22045,42994,6020,56867,4608
0500000US,22103,65392,4679,90948,4666
0500000US,24001,42068,4611,58023,4745
0500000US,24009,107884,6073,129594,8509
0500000US,24025,88603,4240,105492,4158
0500000US,25005,66205,2009,88251,3530
0500000US,26021,51262,3548,73729,4704
0500000US,26025,47204,3791,62362,3060
0500000US,26073,46198,4282,64189,5811
0500000US,26093,82884,3407,100699,3853
0500000US,26103,54779,3349,66475,4194
0500000US,28035,38837,2737,58042,10602
0500000US,29019,54356,3368,74844,4179
0500000US,30031,68266,4170,87759,6359
0500000US,34003,100361,1745,137007,3790
0500000US,34025,99642,2906,134685,4248
0500000US,34031,75259,4240,98797,3502
0500000US,34041,77452,5814,98174,6041
0500000US,35043,54338,3977,70136,3032
0500000US,36093,64847,5147,80109,3639
0500000US,37031,54833,3190,68939,3666
0500000US,37119,63967,2090,95943,2362
0500000US,37155,35037,2386,46921,2671
0500000US,37157,40688,2503,56433,4884
0500000US,39003,49063,4501,63196,4788
0500000US,39043,49751,4091,68826,7736
0500000US,39055,82784,7392,120376,11780
0500000US,39119,49602,4988,65748,7060
0500000US,39133,64550,4112,82333,5342
0500000US,39155,46196,3823,60247,2727
0500000US,40145,62421,3950,76909,4471
0500000US,41043,54113,4736,68989,4904
0500000US,41047,56341,2610,72139,3429
0500000US,41053,61616,8313,82141,9711
0500000US,42017,88569,1738,117488,2665
0500000US,42019,66423,3855,90006,4125
0500000US,42027,57333,5312,75355,4195
0500000US,42043,57814,3342,81631,3823
0500000US,42049,48007,2624,64585,2476
0500000US,42079,54433,2634,68960,2703
0500000US,42089,64170,4928,78152,5455
0500000US,42095,68591,3283,89577,4027
0500000US,42125,63251,2265,84968,4309
0500000US,44005,83822,11620,112309,9558
0500000US,44009,89847,6274,112267,6720
0500000US,45055,51467,4058,62244,5349
0500000US,45059,41452,2619,55429,5390
0500000US,45073,47132,5959,64241,5048
0500000US,45075,36536,3086,47034,4767
0500000US,47001,50616,3864,65130,5480
0500000US,48029,54149,1409,74351,1408
0500000US,48091,76203,3800,102138,7378
0500000US,48187,74459,3104,91990,5940
0500000US,48215,39165,2282,55958,2448
0500000US,48329,81210,4945,111669,8268
0500000US,48361,56420,5374,75115,7134
0500000US,48497,69040,9883,86065,8343
0500000US,51085,91309,4928,108190,6699
0500000US,51107,139915,4772,171772,7555
0500000US,53009,59001,5412,71617,5184
0500000US,53035,76945,2750,96035,3534
0500000US,53061,87440,2425,105073,2270
0500000US,55055,65651,4231,81990,5103
0500000US,55079,49636,1375,68331,1749
0500000US,55087,64759,3149,81289,3546
0500000US,55101,59759,2744,75321,2848
0500000US,72021,24873,1596,34601,2042
0500000US,72113,17906,1512,28963,2582
0500000US,72135,26358,3416,36559,3906
0500000US,72137,25504,2739,36869,4884
0100000US,,61937,94,87864,162
