id,FIPS,Total households!!Median household income (dollars),Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Total households!!Mean household income (dollars)
0500000US,48423,58226,4793,80432,6535
0500000US,48439,66063,1349,91655,2058
0500000US,48469,50210,4866,70507,5446
0500000US,49049,75349,1567,95540,3097
0500000US,51069,80953,9163,99516,6590
0500000US,51179,110307,6315,123821,4997
0500000US,51510,101215,6379,131988,5672
0500000US,51800,71829,6440,89323,5686
0500000US,53033,95009,1914,129226,1885
0500000US,53077,51555,2307,65082,3028
0500000US,54033,46569,5693,62447,5735
0500000US,55089,81104,3643,113751,7935
0500000US,55127,63800,3964,81126,3891
0500000US,55133,86968,2195,115491,3926
0500000US,72025,27714,3251,41546,6489
0500000US,01043,44612,3562,67585,10099
0500000US,01117,71230,6349,96481,5753
0500000US,01121,40315,3166,58110,7541
0500000US,01125,54459,4961,71000,4496
0500000US,02170,72667,5474,91159,5487
0500000US,04001,30207,4317,42002,2818
0500000US,04015,46060,3310,57206,2947
0500000US,04019,53464,1484,73423,1685
0500000US,04021,59058,2065,69864,2175
0500000US,04027,43403,3448,59035,3874
0500000US,05119,49613,1770,78950,3872
0500000US,05143,50342,2522,72794,4623
0500000US,06037,68093,802,98977,996
0500000US,06045,51830,4580,66691,5246
0500000US,06059,89759,1823,122301,2144
0500000US,06061,88592,4663,111541,4056
0500000US,06067,69767,1676,89707,1969
0500000US,06095,84395,3989,102658,3043
0500000US,09005,76043,3838,102726,5802
0500000US,09007,89131,4763,111125,5243
0500000US,12023,48848,6174,68973,9654
0500000US,12053,45977,2937,59781,3116
0500000US,12085,59978,3920,96957,6844
0500000US,12087,71973,8306,117436,11956
0500000US,12095,58588,2526,83043,2263
0500000US,12101,54208,2400,71182,2295
0500000US,12115,61683,1789,89010,4196
0500000US,12119,53895,2460,67209,5702
0500000US,13047,56364,11612,72319,5267
0500000US,13077,69240,4495,87585,5213
0500000US,13247,61222,5643,80110,6861
0500000US,13297,66640,9602,76499,5024
0500000US,15003,84423,2235,107128,2366
0500000US,16005,50748,4161,63690,3923
0500000US,16055,55236,3717,74904,5021
0500000US,17099,51838,4294,73633,5631
0500000US,17113,66256,2941,85424,4374
0500000US,17161,52148,2803,69130,3628
0500000US,18011,81145,11373,113352,9034
0500000US,18157,50256,4357,68166,3607
0500000US,18177,44928,3391,57827,5633
0500000US,19113,64103,3291,83719,3475
0500000US,19193,61516,3522,77604,5019
0500000US,21145,47764,5323,76906,11687
0500000US,22073,44059,4995,66696,5878
0500000US,23001,49697,4884,65278,4323
0500000US,24003,97814,3563,122898,3777
0500000US,26091,55378,2931,70326,4455
0500000US,27013,58616,4771,74210,4495
0500000US,27037,86302,2510,106417,2919
0500000US,27123,62919,2075,88939,2491
0500000US,28033,68385,3907,79336,3535
0500000US,28047,45042,3009,65158,4672
0500000US,28049,45459,2574,58036,2355
0500000US,29097,46617,2662,60908,3825
0500000US,29099,65246,2857,81128,5812
0500000US,29183,81663,2744,99389,3031
0500000US,29187,46796,4688,61053,8049
0500000US,30029,53193,6311,77935,6797
0500000US,33009,66358,6277,91144,8179
0500000US,35001,51208,1594,73158,2693
0500000US,36005,38467,1864,57617,1608
0500000US,36013,45479,2258,60922,3405
0500000US,36015,53005,3786,72849,8797
0500000US,36059,116304,2934,149295,2984
0500000US,36071,75825,4078,99408,3601
0500000US,37019,60496,2848,73963,4200
0500000US,37021,53980,3551,78359,4411
0500000US,37067,49166,2108,73262,3175
0500000US,37127,51601,6540,72738,7882
0500000US,37133,50639,2358,61979,4241
0500000US,37193,43466,4676,63537,12672
0500000US,39025,64526,2905,82890,3685
0500000US,39035,49910,888,75460,1508
0500000US,39041,99881,6082,130488,5860
0500000US,39049,60373,1059,81791,1655
0500000US,39061,57189,1602,83983,2955
0500000US,39103,75786,3256,95224,5229
0500000US,39113,50838,1708,69221,2312
0500000US,39165,86473,4058,109950,5740
0500000US,40017,70204,3579,82480,3793
0500000US,42029,99119,3319,130858,3800
0500000US,42077,62278,2680,84151,3015
0500000US,42097,47160,4957,63208,4727
0500000US,45045,61183,1550,81375,2834
0500000US,45063,60154,2955,75431,2493
0500000US,46103,59006,4945,77041,6532
0500000US,47011,50560,3023,69462,8579
