FIPS,Household Median Income,Margin of Error
55141,53473,1503
56001,46865,2174
56003,53435,2844
56005,79916,4196
56007,60206,5264
56009,63923,6844
56011,64055,6603
56013,54242,3180
56015,49774,4210
56017,51875,5179
56019,55991,7320
56021,64220,1924
56023,64519,4154
56025,60550,2371
56027,39359,7728
56029,62666,4624
56031,47096,3764
56033,58521,2598
56035,78680,11685
56037,73008,3133
56039,83831,5822
56041,58235,5671
56043,53426,3654
56045,52867,6921
72001,12902,1027
72003,16347,1084
72005,16693,951
72007,17255,1562
72009,19720,1401
72011,19379,1533
72013,18001,831
72015,16976,2241
72017,16889,1829
72019,15970,1628
72021,26017,774
72023,16080,942
72025,25006,1128
72027,16831,996
72029,20673,1668
72031,29434,1311
72033,18253,2132
72035,21320,1445
72037,19103,2515
72039,15071,1581
72041,19949,1394
72043,19833,2057
72045,12812,1348
72047,15088,1444
72049,23802,4314
72051,29667,3850
72053,19068,1213
72054,20315,3694
72055,13242,846
72057,16374,1310
72059,16922,1349
72061,33937,1745
72063,33661,2355
72065,17201,1310
72067,19394,2271
72069,19880,1116
72071,16748,1313
72073,15424,2978
72075,20845,998
72077,18969,1633
72079,13747,1070
72081,14540,1599
72083,13435,2781
72085,21792,1810
72087,17402,1188
72089,20829,2080
72091,19459,2072
72093,13262,2413
72095,19788,3553
72097,14120,770
72099,14155,1310
72101,20589,1205
72103,19356,1831
72105,19332,2452
72107,13319,1247
72109,15761,1829
72111,17592,1596
72113,17173,503
72115,16630,2110
72117,21591,3871
72119,22509,1243
72121,16846,1723
72123,16887,1447
72125,15619,1625
72127,22146,699
72129,18821,1560
72131,14812,1029
72133,17640,2025
72135,28863,1418
72137,24899,1165
72139,31193,1173
72141,16533,1087
72143,18895,1162
72145,19096,1063
72147,15539,3003
72149,19855,1503
72151,16013,1364
72153,14954,1048
