FIPS,Household Median Income,Margin of Error
28125,28799,4575
28127,37946,2940
28129,41657,2874
28131,44883,6737
28133,30029,2823
28135,30028,2097
28137,51056,4878
28139,39839,3396
28141,37312,2843
28143,37822,6969
28145,41287,2751
28147,29804,3733
28149,43039,2656
28151,30834,1278
28153,37970,7084
28155,40683,7710
28157,26599,2999
28159,36214,3190
28161,41864,3375
28163,31402,2367
29001,40046,2435
29003,55683,5167
29005,48385,3253
29007,43761,1422
29009,41463,1911
29011,41625,2397
29013,46186,3012
29015,38028,2852
29017,42985,4144
29019,54043,1666
29021,50457,1896
29023,39058,2674
29025,48033,3324
29027,55376,2645
29029,52087,2729
29031,51730,1820
29033,42149,5196
29035,39415,6750
29037,67659,1608
29039,39412,2797
29041,46992,2012
29043,57019,2028
29045,47955,3200
29047,68367,1427
29049,58510,3346
29051,57587,1779
29053,48750,2679
29055,38036,4451
29057,39979,3243
29059,41551,2991
29061,50380,2063
29063,50000,6177
29065,39916,3202
29067,34372,3024
29069,34186,1772
29071,55312,1801
29073,53439,2848
29075,42689,5068
29077,44808,1008
29079,42574,3291
29081,40168,3374
29083,43911,3276
29085,36190,1900
29087,45610,3649
29089,50372,4014
29091,36143,1580
29093,37188,2632
29095,52805,616
29097,46929,1601
29099,63030,1317
29101,53056,2319
29103,40383,3536
29105,46192,3544
29107,54661,2714
29109,43373,1729
29111,47764,3634
29113,61628,3653
29115,43642,2985
29117,47885,2903
29119,42019,3057
29121,40007,2031
29123,41322,3013
29125,44436,3132
29127,46762,3278
29129,44085,4042
29131,42718,2196
29133,32846,3218
29135,54828,3620
29137,43973,2381
29139,45862,3414
29141,37727,3410
29143,35399,2113
29145,49023,1902
29147,43349,2081
