FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018,Median household income 2010,Household Median Income
12097,53207.0,51436.0,50546.0,42413.0,50063
12099,78043.0,57580.0,61691.0,49879.0,59943
12101,56971.0,46264.0,54208.0,42220.0,50417
12103,63873.0,50036.0,52198.0,42616.0,51454
12105,53669.0,46355.0,51670.0,41174.0,48500
12107,45637.0,38239.0,41608.0,33842.0,35649
12109,91377.0,78581.0,80712.0,58888.0,77323
12111,58531.0,44804.0,54098.0,38671.0,49373
12113,75494.0,63619.0,70787.0,50517.0,66242
12115,69672.0,54989.0,61683.0,45641.0,58644
12117,72815.0,61311.0,67470.0,57802.0,63760
12119,59485.0,54562.0,53895.0,45026.0,55228
12127,54251.0,45366.0,50361.0,41556.0,46760
13013,59585.0,54256.0,61225.0,54230.0,57348
13015,55870.0,51405.0,57380.0,42844.0,55452
13021,52537.0,36724.0,40495.0,35651.0,39931
13031,50390.0,43982.0,44179.0,29170.0,41789
13045,56559.0,51228.0,51545.0,46032.0,49608
13051,60747.0,53964.0,55308.0,42763.0,54911
13057,83660.0,77950.0,82069.0,61834.0,79670
13059,50725.0,34999.0,42232.0,34230.0,36889
13063,47587.0,45252.0,46646.0,35672.0,45778
13067,83190.0,70947.0,78894.0,59896.0,75153
13073,84814.0,72737.0,82024.0,62359.0,76938
13077,71202.0,71220.0,69240.0,55343.0,70717
13089,71602.0,56109.0,64461.0,46812.0,59280
13095,49030.0,37222.0,39659.0,28444.0,37633
13097,62877.0,62445.0,60829.0,53092.0,62147
13113,100760.0,80626.0,93468.0,79659.0,87272
13115,49560.0,49865.0,38462.0,36934.0,46367
13117,103341.0,100909.0,104687.0,79825.0,101743
13121,89648.0,63510.0,70930.0,52831.0,64787
13127,65139.0,48926.0,55196.0,41854.0,50672
13135,74037.0,67155.0,72184.0,57548.0,67769
13139,63528.0,54917.0,61699.0,47002.0,59898
13151,65846.0,66905.0,73541.0,57341.0,68609
13153,66444.0,62493.0,58965.0,58401.0,58770
13185,52511.0,41449.0,34886.0,36132.0,41390
13215,60244.0,40060.0,47288.0,35384.0,45389
13217,60187.0,48628.0,57344.0,49397.0,53309
13223,66779.0,60856.0,73084.0,60169.0,66467
13245,50099.0,41419.0,39413.0,39152.0,40644
13247,61032.0,56820.0,61222.0,57266.0,57049
13285,57509.0,42371.0,44260.0,41477.0,43850
13295,50074.0,39209.0,42609.0,36927.0,43650
13297,62296.0,53202.0,66640.0,50173.0,58370
13313,52402.0,46399.0,45028.0,39423.0,46970
15001,65097.0,55750.0,57571.0,47100.0,59297
15003,86582.0,80513.0,84423.0,68537.0,82906
15007,72492.0,71344.0,80921.0,55246.0,78482
15009,78500.0,72257.0,82885.0,60617.0,77117
16001,69768.0,61301.0,66405.0,50612.0,63137
16005,54877.0,48429.0,50748.0,38396.0,49739
16019,65598.0,59706.0,58729.0,49482.0,56609
16027,49836.0,48437.0,53374.0,42732.0,49143
16055,58105.0,51765.0,55236.0,42316.0,54457
16083,53651.0,51210.0,51196.0,42106.0,50778
17001,58933.0,51624.0,56699.0,40626.0,51398
17019,62088.0,50335.0,52725.0,45254.0,51692
17031,75594.0,60046.0,63353.0,51466.0,62088
17037,58641.0,59285.0,63085.0,51518.0,61086
17043,101499.0,84908.0,93750.0,72471.0,88711
17089,84032.0,73347.0,79818.0,65712.0,76912
17091,62856.0,54911.0,51404.0,44784.0,57981
17093,91966.0,90482.0,89862.0,77987.0,91764
17097,106303.0,83152.0,87133.0,74705.0,86244
17099,60779.0,57476.0,51838.0,50206.0,56243
17111,88375.0,81063.0,85275.0,68867.0,84803
17113,76125.0,62156.0,66256.0,59588.0,65813
17115,58049.0,46198.0,50066.0,40919.0,50444
17119,65166.0,56035.0,59987.0,51901.0,57890
17143,64500.0,51975.0,56138.0,50425.0,54770
17161,61972.0,50948.0,52148.0,45005.0,52630
17163,61301.0,50267.0,59141.0,47156.0,53681
17167,69140.0,53782.0,61997.0,50166.0,60466
17179,71566.0,60152.0,60857.0,49962.0,62342
17183,52242.0,45481.0,43655.0,38167.0,45384
17197,87824.0,81438.0,85818.0,71016.0,83504
17199,57320.0,48409.0,43568.0,43709.0,49053
