FIPS,Evangelical Protestant,Black Protestant,Mainline Protestant,Catholic,Orthodox,Other,Year
01065,0.27677888889999996,0.2216388889,0.08793888889,0.00159,0.0063488888899999995,0.01047,2010
01067,0.34823,0.07317,0.05225,,,,2010
01069,0.5956488889,0.03796,0.12057888889999999,0.02512,0.00039,0.01853,2010
01071,0.45307888890000003,0.015880000000000002,0.03975,0.02846,,0.0062,2010
01073,0.46924999999999994,0.1619688889,0.10181000000000001,0.08365,0.0021600000000000005,0.01985,2010
01075,0.61123,0.0745,0.07243888889,,,,2010
01077,0.4418388889,0.0253,0.08714000000000001,0.02101,,0.00784,2010
01079,0.4575288889,0.027488888889999997,0.03421888889,0.00252888889,,5.8888890000000004e-05,2010
01081,0.21455,0.052538888889999996,0.1087388889,0.02048,,0.01009888889,2010
01083,0.40567,0.01046,0.059178888889999996,0.02973888889,,0.014598888890000002,2010
01085,0.21586,0.20046,0.13381888890000002,,,8.888889e-05,2010
01087,0.1256288889,0.2305088889,0.054258888889999995,0.00466,,0.03164888889,2010
01089,0.31511,0.020038888890000002,0.10612888890000001,0.04228,0.0010199999999999999,0.01967,2010
01091,0.50749,0.1453788889,0.09065,0.01835888889,,0.01065,2010
01093,0.5298888889,0.011890000000000001,0.04743888889,0.0154,,0.00715,2010
01095,0.46986999999999995,0.004,0.08457888889,0.09010888889,,0.00658888889,2010
01097,0.36146999999999996,0.08262888888999999,0.07339999999999999,0.07748888889,0.0017499999999999998,0.01617888889,2010
01099,0.37268,0.19846,0.05968888888999999,0.00433888889,,0.013309999999999999,2010
01101,0.30473,0.1922188889,0.1394388889,0.04132888889,0.00037000000000000005,0.01928888889,2010
01103,0.49918,0.0218,0.09781000000000001,0.07012888889,,0.00788,2010
01105,0.27429000000000003,0.17600000000000002,0.08837888889,,,0.00047,2010
01107,0.49605,0.08689999999999999,0.08118,0.00375,,0.0158,2010
01109,0.3069388889,0.11170888890000001,0.07422999999999999,0.006540000000000001,,0.00988,2010
01111,0.3951,0.08523888889,0.08632888889,0.006500000000000001,,4e-05,2010
01113,0.44667,0.1568188889,0.04615888889,0.03012,,0.015069999999999998,2010
01115,0.4075188889,0.02126888889,0.03417,0.012629999999999999,,0.00014,2010
01117,0.31747,0.01241,0.08240888888999999,0.014778888890000001,0.0003,0.01198,2010
01119,0.19355999999999998,0.10892000000000002,0.055868888889999996,0.0026899999999999997,,7e-05,2010
01121,0.4070788889,0.044288888889999996,0.05514888889,0.0215,,0.006729999999999999,2010
01123,0.4737088889,0.08472999999999999,0.1100488889,0.021480000000000003,,0.00458888889,2010
01125,0.36887000000000003,0.07412,0.06377999999999999,0.01916,,0.00997,2010
01127,0.5836488889,0.01621888889,0.038078888889999996,0.007798888890000001,,0.007758888890000001,2010
01129,0.4203988889,0.0922,0.07064,0.0017100000000000001,,,2010
01131,0.29493888890000003,0.25767,0.04867,0.00103,,0.008140000000000001,2010
01133,0.5513399999999999,,0.045618888889999994,0.009108888890000002,,0.00550888889,2010
