FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018
36027,86119.0,74115.0,80227.0
36029,64913.0,54246.0,56369.0
36045,57548.0,45624.0,53146.0
36047,65085.0,55150.0,61220.0
36051,60569.0,53121.0,61609.0
36053,63863.0,60630.0,59678.0
36055,67257.0,54492.0,60222.0
36059,119872.0,105870.0,116304.0
36061,124399.0,77559.0,85066.0
36063,61475.0,50233.0,55306.0
36065,62188.0,52996.0,54593.0
36067,67865.0,56991.0,59883.0
36069,64688.0,57448.0,62522.0
36071,85783.0,73025.0,75825.0
36075,59267.0,53562.0,54264.0
36079,116121.0,96992.0,102525.0
36081,70204.0,62207.0,69320.0
36083,73716.0,65965.0,71648.0
36085,83898.0,77197.0,82166.0
36087,103787.0,85515.0,89812.0
36089,58920.0,51592.0,49681.0
36091,84392.0,76097.0,83765.0
36093,70181.0,58331.0,64847.0
36101,58242.0,50575.0,55569.0
36103,106475.0,92933.0,100468.0
36105,60693.0,50652.0,52274.0
36109,75467.0,56349.0,57276.0
36111,77105.0,62790.0,63889.0
36113,68206.0,58061.0,56482.0
36117,60788.0,59538.0,61515.0
36119,124503.0,89709.0,94811.0
37001,54320.0,45100.0,49979.0
37019,65991.0,50692.0,60496.0
37021,60551.0,50685.0,53980.0
37023,49340.0,40345.0,43663.0
37025,71425.0,63386.0,69679.0
37027,41876.0,36301.0,42257.0
37031,64635.0,51206.0,54833.0
37035,56416.0,48913.0,53454.0
37037,68956.0,62961.0,74959.0
37045,45353.0,36992.0,40690.0
37049,58734.0,49938.0,50509.0
37051,55445.0,45205.0,46716.0
37057,54963.0,45678.0,45320.0
37063,71556.0,53832.0,58073.0
37067,64044.0,48271.0,49166.0
37071,55075.0,48711.0,52741.0
37081,60527.0,47262.0,51803.0
37085,56571.0,51637.0,51022.0
37089,53963.0,54963.0,53706.0
37097,65577.0,55891.0,59341.0
37101,56609.0,54719.0,60132.0
37109,60870.0,49453.0,63782.0
37119,80758.0,62978.0,63967.0
37125,68779.0,52279.0,58531.0
37127,53066.0,47902.0,51601.0
37129,68346.0,50028.0,52239.0
37133,54584.0,47150.0,50639.0
37135,87236.0,66423.0,72563.0
37147,50924.0,46573.0,42481.0
37151,51818.0,44836.0,47653.0
37155,40537.0,34254.0,35037.0
37157,45406.0,40985.0,40688.0
37159,49843.0,48379.0,46035.0
37161,44666.0,36121.0,43111.0
37171,52625.0,36802.0,48398.0
37179,82292.0,71588.0,80337.0
37183,84674.0,76097.0,79970.0
37191,50564.0,41711.0,40791.0
37193,46365.0,41332.0,43466.0
37195,48897.0,39036.0,42769.0
38015,82582.0,64558.0,71172.0
38017,70506.0,59240.0,62418.0
38035,61905.0,50008.0,52853.0
39003,54480.0,47592.0,49063.0
39007,46896.0,42965.0,46349.0
39013,56405.0,48220.0,50250.0
39017,69896.0,63273.0,60589.0
39023,51415.0,46811.0,49875.0
39025,72430.0,60661.0,64526.0
39029,57391.0,47864.0,43745.0
39035,62041.0,46601.0,49910.0
39041,103313.0,101693.0,99881.0
39043,62310.0,48949.0,49751.0
39045,72329.0,65316.0,67144.0
39049,68046.0,56055.0,60373.0
39055,88131.0,76384.0,82784.0
39057,73750.0,62018.0,67680.0
39061,67498.0,53229.0,57189.0
39063,63909.0,52810.0,60788.0
39081,54433.0,44257.0,40308.0
39085,67811.0,61870.0,65835.0
39089,67857.0,58685.0,67784.0
39093,63004.0,54504.0,58613.0
39095,55215.0,44534.0,47360.0
39099,53511.0,42295.0,47962.0
39101,50841.0,42826.0,43008.0
39103,76889.0,72618.0,75786.0
39109,64668.0,60170.0,58486.0
39113,56242.0,46936.0,50838.0
39119,50412.0,43422.0,49602.0
39133,65232.0,49695.0,64550.0
39139,53513.0,44073.0,49564.0
39141,54194.0,46422.0,46769.0
39145,48528.0,39210.0,37257.0
39151,57544.0,50994.0,52068.0
39153,65175.0,52036.0,58876.0
39155,51427.0,45552.0,46196.0
39157,56019.0,50440.0,49658.0
39165,97610.0,80207.0,86473.0
39169,60019.0,53434.0,59111.0
39173,66309.0,60166.0,63695.0
40017,76932.0,67177.0,70204.0
40027,70258.0,61288.0,62096.0
40031,55059.0,51164.0,52089.0
40037,56592.0,43609.0,55264.0
40101,48318.0,40860.0,45290.0
40109,64606.0,51078.0,52214.0
40119,52066.0,35927.0,48031.0
40125,53615.0,41716.0,48776.0
40131,66367.0,62434.0,60148.0
40143,66464.0,51325.0,55638.0
40145,64371.0,62041.0,62421.0
41003,67411.0,55459.0,63773.0
41005,81924.0,74891.0,81278.0
41017,64640.0,61870.0,67577.0
41019,50620.0,42889.0,47004.0
41029,59424.0,48563.0,56546.0
41033,47981.0,36472.0,48315.0
41035,49315.0,45604.0,45354.0
41039,55906.0,47777.0,53172.0
41043,52156.0,51310.0,54113.0
41047,57495.0,56550.0,56341.0
41051,70699.0,62629.0,71186.0
41053,59215.0,52485.0,61616.0
41059,54301.0,50171.0,56842.0
41067,80254.0,75634.0,83068.0
41071,61807.0,61596.0,60893.0
42001,69324.0,59300.0,62284.0
42003,72077.0,56140.0,59899.0
42005,52635.0,47398.0,49950.0
42007,58980.0,55221.0,54660.0
42011,68265.0,59286.0,62564.0
42013,53745.0,43443.0,49942.0
42017,95823.0,79936.0,88569.0
42019,74144.0,66426.0,66423.0
42021,53409.0,44100.0,45084.0
42025,61145.0,51676.0,53227.0
42027,68963.0,60266.0,57333.0
42029,108903.0,92407.0,99119.0
42033,49415.0,47352.0,46205.0
42037,58957.0,49186.0,50601.0
42039,52925.0,45410.0,51502.0
42041,76608.0,63530.0,71802.0
01003,62801.0,56732.0,56813.0
01015,51617.0,41687.0,45818.0
01043,48609.0,39411.0,44612.0
01049,47097.0,35963.0,36998.0
01051,62154.0,52579.0,60796.0
01055,47484.0,41152.0,45868.0
01069,59028.0,42321.0,48105.0
01073,63958.0,50180.0,55206.0
01077,55651.0,43427.0,49014.0
01081,57409.0,48056.0,46456.0
01083,65818.0,50872.0,67000.0
01089,74355.0,60503.0,63111.0
01095,52306.0,42362.0,47528.0
01097,54274.0,45744.0,43061.0
01101,58997.0,45395.0,49989.0
