FIPS,County Name,State,Size,Pop 2012,Pop 2013,Pop 2014,Pop 2015,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP/capita 2012,GDP/capita 2013,GDP/capita 2014,GDP/capita 2015,% Change (2012-2015),% Change (2014-2015),Add Zero FIPS
54061,Monongalia,WV,Medium,100478,101883,102951,103940,5811775,6478622,6564961,6835563,57841.26874,63588.8421,63767.82159,65764.50837000001,13.7%,3.1%,054061
51939,Pittsylvania + Danville,VA,Medium,105608,105191,104613,103897,2551152,2610631,2595141,2624410,24156.8063,24818.00724,24807.06031,25259.72838,4.6%,1.8%,051939
47011,Bradley,TN,Medium,101061,101747,102816,103802,4118130,4145465,4093758,4580938,40748.9536,40742.87203,39816.351539999996,44131.500360000005,8.3%,10.8%,047011
51085,Hanover,VA,Medium,100344,101066,101709,103045,4862030,4788236,5296437,5771459,48453.61955,47377.31779,52074.41819,56009.11252,15.6%,7.6%,051085
53015,Cowlitz,WA,Medium,101649,101481,101784,103020,3348934,3516346,3767272,3829558,32946.05948,34650.28922,37012.41845,37172.956710000006,12.8%,0.4%,053015
37049,Craven,NC,Medium,105331,104310,104111,103015,4293794,4505755,4551290,4620392,40764.770110000005,43195.810560000005,43715.745689999996,44851.642960000005,10.0%,2.6%,037049
01055,Etowah,AL,Medium,104257,103865,103374,102942,2607155,2635496,2634960,2715868,25007.001930000002,25374.24541,25489.58152,26382.50665,5.5%,3.5%,01055
55127,Walworth,WI,Medium,102945,102871,103266,102592,3649515,3738960,3813948,4064404,35451.114669999995,36346.10337,36933.24037,39617.16313,11.8%,7.3%,055127
19193,Woodbury,IA,Medium,102290,102195,102200,102455,4716108,4811823,5060568,5335591,46105.26933,47084.720389999995,49516.32094,52077.409589999996,13.0%,5.2%,019193
24015,Cecil,MD,Medium,101767,101931,102249,102452,3030009,3120402,3197066,3507348,29773.983710000004,30612.885189999997,31267.454939999996,34234.06083,15.0%,9.5%,024015
28089,Madison,MS,Medium,98004,99417,100788,102364,5611611,6233447,6879754,6989570,57258.99963,62700.011060000004,68259.65393,68281.52475,19.3%,0.0%,028089
29071,Franklin,MO,Medium,101348,101741,101955,102284,3440030,3644683,3666074,3864172,33942.751710000004,35823.14898,35957.765680000004,37778.851039999994,11.3%,5.1%,029071
13015,Bartow,GA,Medium,100365,101056,101397,102176,3479545,3763273,4128776,4084701,34668.90848,37239.48108,40718.916730000004,39977.10813,15.3%,-1.8%,013015
24045,Wicomico,MD,Medium,100597,100957,101546,102058,3768846,4031270,4236635,4472605,37464.79517,39930.5645,41721.338110000004,43824.14901,17.0%,5.0%,024045
55035,Eau Claire,WI,Medium,100837,101708,101644,102032,4894187,4967473,5131800,5532929,48535.6268,48840.53368,50487.97765,54227.38945,11.7%,7.4%,055035
55039,Fond du Lac,WI,Medium,101823,101783,101952,101916,4136675,4368613,4536496,4717174,40626.13555,42920.85122,44496.39046,46284.92092,13.9%,4.0%,055039
42001,Adams,PA,Medium,101228,101059,101231,101637,2924119,3057008,3160483,3273869,28886.464219999998,30249.7353,31220.50558,32211.38955,11.5%,3.2%,042001
41071,Yamhill,OR,Medium,99816,99830,100744,101417,2547284,2762826,2995266,3137292,25519.796430000002,27675.30802,29731.45795,30934.577039999996,21.2%,4.0%,041071
29037,Cass,MO,Medium,100418,100679,100865,101390,1780770,1932440,1975296,2082815,17733.57366,19194.07225,19583.56219,20542.60775,15.8%,4.9%,029037
02170,Matanuska-Susitna Borough,AK,Medium,93681,95853,98104,101064,2233060,2267096,2409685,2552621,23836.850590000002,23651.80015,24562.55606,25257.47051,6.0%,2.8%,02170
30031,Gallatin,MT,Medium,92506,94421,97029,100334,4111941,4382829,4540466,4988276,44450.53294,46417.94728,46794.9376,49716.7062,11.8%,6.2%,030031
12055,Highlands,FL,Small,98205,98071,98482,99891,1965581,2009938,2021272,2088782,20015.0807,20494.72321,20524.27855,20910.612569999998,4.5%,1.9%,012055
51770,Roanoke (Independent City),VA,Small,98098,98938,99520,99823,6628603,6769031,6755805,6901115,67571.23488999999,68416.89745,67883.89267999999,69133.51632000001,2.3%,1.8%,051770
02090,Fairbanks North Star Borough,AK,Small,100354,100898,99308,99643,5489188,5535890,5832992,5939475,54698.2482,54866.20151,58736.375720000004,59607.54895,9.0%,1.5%,02090
36079,Putnam,NY,Small,99723,99751,99667,99473,2611112,2716403,2827087,2929313,26183.648709999998,27231.83727,28365.32654,29448.32266,12.5%,3.8%,036079
21059,Daviess,KY,Small,97879,98289,98421,99364,4012293,4222296,4232955,4309807,40992.378339999996,42957.97088,43008.656689999996,43373.92818,5.8%,0.8%,021059
06057,Nevada,CA,Small,98173,97992,98614,98715,3525492,3608832,3920407,3700365,35911.01423,36827.822680000005,39755.075339999996,37485.33657,4.4%,-5.7%,06057
27019,Carver,MN,Small,93859,95610,97343,98596,4069364,4337859,4786326,5086155,43356.140589999995,45370.348289999994,49169.6989,51585.81484,19.0%,4.9%,027019
