FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
48091,Comal,23778,31160,24661,12890,97919,Texas,2017
48099,Coryell,13556,21471,5680,2450,48139,Texas,2017
48113,Dallas,391895,427055,327992,184294,1676011,Texas,2017
48121,Denton,92964,162675,166793,85836,547898,Texas,2017
48135,Ector,,,,,,Texas,2017
48139,Ellis,34047,37275,17351,7371,111660,Texas,2017
48141,El,124109,161922,77102,40737,514729,Texas,2017
48157,Fort,83009,128941,139460,89288,489890,Texas,2017
48167,Galveston,60775,70678,45045,25107,224926,Texas,2017
48181,Grayson,26311,34630,12095,5573,88606,Texas,2017
48183,Gregg,22404,30669,10641,4246,80114,Texas,2017
48187,Guadalupe,31625,32568,18045,10234,104984,Texas,2017
48201,Harris,691323,803451,584612,328601,2970857,Texas,2017
48203,Harrison,,,,,,Texas,2017
48209,Hays,25945,40528,32629,17466,127580,Texas,2017
48213,Henderson,19601,18903,5518,4483,58046,Texas,2017
48215,Hidalgo,113441,111432,64084,25915,482342,Texas,2017
48231,Hunt,21732,18531,8933,5744,61557,Texas,2017
48245,Jefferson,54412,58410,21617,10228,168924,Texas,2017
48251,Johnson,37507,36250,14394,5882,109599,Texas,2017
48257,Kaufman,25541,23692,11133,6503,78533,Texas,2017
48291,Liberty,,,,,,Texas,2017
48303,Lubbock,47356,54331,34166,19779,180516,Texas,2017
48309,McLennan,39335,51050,25205,12548,153289,Texas,2017
48329,Midland,29565,29457,21001,7563,102982,Texas,2017
48339,Montgomery,90014,117725,82710,41084,373508,Texas,2017
48347,Nacogdoches,,,,,,Texas,2017
48355,Nueces,69920,74597,32045,17446,235918,Texas,2017
48361,Orange,,,,,,Texas,2017
48367,Parker,24833,32209,16980,6836,90367,Texas,2017
48375,Potter,24887,21236,8242,4104,76901,Texas,2017
48381,Randall,22125,32842,19843,7674,88683,Texas,2017
48397,Rockwall,10033,20047,16124,10747,63099,Texas,2017
48409,San,,,,,,Texas,2017
48423,Smith,31979,57738,27387,12376,148537,Texas,2017
48439,Tarrant,311382,396438,278693,135576,1317559,Texas,2017
48441,Taylor,25415,27264,12642,7554,83224,Texas,2017
48451,Tom,24411,26019,11896,6014,76794,Texas,2017
48453,Travis,152636,191697,266510,150035,842298,Texas,2017
48469,Victoria,,,,,,Texas,2017
48471,Walker,,,,,,Texas,2017
48479,Webb,45606,33604,18128,7907,152141,Texas,2017
48485,Wichita,28616,26094,13759,4796,83093,Texas,2017
48491,Williamson,77447,110280,98759,48562,360257,Texas,2017
48497,Wise,,,,,,Texas,2017
49005,Cache,11581,21138,16854,8461,62167,Utah,2017
49011,Davis,43200,73150,54023,25355,204090,Utah,2017
49035,Salt,158214,236018,163704,94258,716783,Utah,2017
49045,Tooele,,,,,,Utah,2017
49049,Utah,45469,112231,86689,38635,299761,Utah,2017
49053,Washington,24307,43251,18671,10137,107235,Utah,2017
49057,Weber,44214,54813,26541,12720,154572,Utah,2017
50007,Chittenden,22403,26679,30148,21557,107316,Vermont,2017
51003,Albemarle,11973,14509,23154,16497,71816,Virginia,2017
51013,Arlington,12989,17388,61631,70253,173672,Virginia,2017
51015,Augusta,,,,,,Virginia,2017
51019,Bedford,,,,,,Virginia,2017
51041,Chesterfield,56104,66047,58833,33491,231679,Virginia,2017
51059,Fairfax,107427,137555,241638,239539,783902,Virginia,2017
51061,Fauquier,13641,14255,10849,5691,47766,Virginia,2017
51069,Frederick,18452,17741,9821,6285,59491,Virginia,2017
51085,Hanover,19970,19548,18872,9465,73296,Virginia,2017
51087,Henrico,46475,59274,60102,42981,226995,Virginia,2017
51095,James,,,,,,Virginia,2017
51107,Loudoun,32721,48876,89129,70037,256261,Virginia,2017
01003,Baldwin,38283,46361,34927,16148,152037,Alabama,2017
01015,Calhoun,27097,25442,8446,6914,79582,Alabama,2017
01043,Cullman,,,,,,Alabama,2017
01049,DeKalb,,,,,,Alabama,2017
01051,Elmore,17495,16958,8913,4952,55782,Alabama,2017
01055,Etowah,,,,,,Alabama,2017
01069,Houston,23435,23478,9858,6038,72149,Alabama,2017
01073,Jefferson,117906,135673,92518,56844,448110,Alabama,2017
01077,Lauderdale,23922,17227,9599,5746,63925,Alabama,2017
01081,Lee,24545,31893,17387,14962,96835,Alabama,2017
01083,Limestone,17657,20304,13103,5910,65019,Alabama,2017
01089,Madison,50957,72476,61973,40355,247593,Alabama,2017
01095,Marshall,18530,19717,8048,4376,62672,Alabama,2017
01097,Mobile,98241,80877,41144,22987,278255,Alabama,2017
01101,Montgomery,39880,40365,29406,19844,150542,Alabama,2017
01103,Morgan,26868,27836,11615,4727,82161,Alabama,2017
01115,St.,,,,,,Alabama,2017
01117,Shelby,28828,43003,40148,22559,144760,Alabama,2017
01121,Talladega,,,,,,Alabama,2017
01125,Tuscaloosa,36618,32442,24836,17264,128996,Alabama,2017
01127,Walker,,,,,,Alabama,2017
02020,Anchorage,43851,66366,41133,26367,192466,Alaska,2017
02090,Fairbanks,14327,24983,10300,8035,61914,Alaska,2017
02170,Matanuska-Susitna,22888,24438,9971,4894,67973,Alaska,2017
04001,Apache,,,,,,Arizona,2017
04003,Cochise,18420,36729,12159,9290,86811,Arizona,2017
04005,Coconino,19308,25676,18089,13020,83432,Arizona,2017
04013,Maricopa,654144,931118,589939,333871,2864476,Arizona,2017
04015,Mohave,56695,58809,12739,8713,158780,Arizona,2017
04017,Navajo,20102,25692,7514,5149,70045,Arizona,2017
04019,Pima,147813,234917,133750,95931,684433,Arizona,2017
04021,Pinal,93695,99945,37732,20321,297571,Arizona,2017
04025,Yavapai,45563,72484,23564,18072,175929,Arizona,2017
04027,Yuma,34893,42244,10723,7045,131272,Arizona,2017
05007,Benton,50892,45337,40418,18731,174196,Arkansas,2017
05031,Craighead,,,,,,Arkansas,2017
05045,Faulkner,23724,21483,15159,9763,75973,Arkansas,2017
05051,Garland,,,,,,Arkansas,2017
05069,Jefferson,18844,13235,5752,2773,46424,Arkansas,2017
05085,Lonoke,16988,15189,8449,2801,48062,Arkansas,2017
05119,Pulaski,72820,78174,54548,38415,267664,Arkansas,2017
05125,Saline,24894,29688,13658,7526,82486,Arkansas,2017
05131,Sebastian,25800,26884,12153,6265,85038,Arkansas,2017
05143,Washington,33975,37146,28448,17450,140005,Arkansas,2017
05145,White,19876,11211,7720,4270,51342,Arkansas,2017
06001,Alameda,212359,277359,316679,230248,1178053,California,2017
06007,Butte,33420,62034,25216,14993,151101,California,2017
06013,Contra,131082,236458,210880,122678,791111,California,2017
06017,El,27433,53330,31227,15761,137282,California,2017
06019,Fresno,140377,199876,83789,40318,608533,California,2017
06023,Humboldt,20235,33221,19856,11194,92277,California,2017
06025,Imperial,31324,31297,11598,5185,111254,California,2017
06029,Kern,151197,158816,56678,30343,542437,California,2017
06031,Kings,23033,33074,8782,3531,93123,California,2017
06033,Lake,,,,,,California,2017
06037,Los,1446215,1824889,1469422,774869,6955119,California,2017
06039,Madera,22863,32492,10521,4641,99417,California,2017
06041,Marin,20054,48103,62931,49347,191635,California,2017
06045,Mendocino,16829,22716,10205,6228,62833,California,2017
06047,Merced,40791,49296,14099,7583,162053,California,2017
06053,Monterey,58206,70098,41529,27510,278518,California,2017
06055,Napa,17597,31391,23071,12602,98614,California,2017
06057,Nevada,13207,31277,17401,11003,76951,California,2017
06059,Orange,378673,599417,569982,311102,2187338,California,2017
06061,Placer,53710,101866,66085,34765,271276,California,2017
06065,Riverside,429510,513631,223878,123900,1567612,California,2017
06067,Sacramento,238898,349935,206569,109437,1034406,California,2017
06071,San,358649,448236,185279,93140,1357953,California,2017
06073,San,420074,684219,537304,340293,2262740,California,2017
06075,San,81138,132725,246711,159481,702525,California,2017
06077,San,141077,151527,61872,26976,470574,California,2017
06079,San,39047,69600,37376,27932,189011,California,2017
06081,San,82477,132325,159091,127828,555560,California,2017
06083,Santa,47103,79105,58633,39027,277137,California,2017
06085,Santa,198155,296435,362142,332605,1344303,California,2017
06087,Santa,30807,53564,43106,29733,181407,California,2017
06089,Shasta,34688,50822,19262,9842,126457,California,2017
06095,Solano,70305,114736,56321,25300,306637,California,2017
06097,Sonoma,69985,124234,81840,48082,362732,California,2017
06099,Stanislaus,104415,109756,41739,18946,347151,California,2017
06101,Sutter,16257,23419,7453,3293,63863,California,2017
06107,Tulare,75344,78527,27540,11558,274008,California,2017
06111,Ventura,109984,187018,125636,66429,574375,California,2017
06113,Yolo,23326,37590,25801,23919,128156,California,2017
06115,Yuba,12089,18809,6909,1951,49662,California,2017
08001,Adams,95923,102364,52429,21730,324185,Colorado,2017
08005,Arapahoe,91725,119382,124204,66570,436615,Colorado,2017
08013,Boulder,23525,44867,74765,59327,212233,Colorado,2017
08014,Broomfield,7621,12099,17066,8935,47160,Colorado,2017
08031,Denver,88357,109984,152830,97585,507664,Colorado,2017
08035,Douglas,26503,60968,84950,44938,221904,Colorado,2017
08041,El,88352,157948,106575,70689,452212,Colorado,2017
08059,Jefferson,85852,117717,119432,69749,415131,Colorado,2017
08069,Larimer,44100,63286,63203,45279,226454,Colorado,2017
08077,Mesa,28597,39230,17821,8832,103208,Colorado,2017
08101,Pueblo,34037,44381,16892,8249,113492,Colorado,2017
08123,Weld,53072,64243,37123,16733,195753,Colorado,2017
09001,Fairfield,138454,132522,168292,137073,647725,Connecticut,2017
09003,Hartford,169460,152999,130942,105151,625275,Connecticut,2017
09005,Litchfield,38651,37928,29259,20556,136414,Connecticut,2017
09007,Middlesex,33922,31499,27567,19835,119342,Connecticut,2017
09009,New,187277,151361,110253,94404,598860,Connecticut,2017
09011,New,54039,56512,33647,29352,188610,Connecticut,2017
09013,Tolland,27758,25735,21595,16987,96486,Connecticut,2017
09015,Windham,27350,24491,12236,7458,81142,Connecticut,2017
10001,Kent,38090,38901,17143,10419,118346,Delaware,2017
10003,New,129745,90840,77494,58234,385693,Delaware,2017
10005,Sussex,50474,50002,26805,21988,169647,Delaware,2017
11001,District,85033,77731,118172,165347,494614,District of Columbia,2017
12001,Alachua,36916,45643,32829,33078,161896,Florida,2017
12005,Bay,38951,47665,19516,10932,128622,Florida,2017
12009,Brevard,120846,149291,80439,50439,436285,Florida,2017
12011,Broward,375465,402050,280822,166804,1370041,Florida,2017
12015,Charlotte,51702,50873,23348,12229,150874,Florida,2017
12017,Citrus,45721,37882,13015,6593,116483,Florida,2017
12019,Clay,47224,51594,20812,10951,144638,Florida,2017
12021,Collier,76546,68888,63645,41292,283595,Florida,2017
12023,Columbia,17030,17291,6337,2085,48064,Florida,2017
12031,Duval,180499,207824,127385,61396,641660,Florida,2017
12033,Escambia,55147,79162,36436,19445,210972,Florida,2017
12035,Flagler,29061,27214,13139,7766,83530,Florida,2017
12053,Hernando,52494,44513,16912,9293,138863,Florida,2017
12055,Highlands,30265,22616,8794,5369,79408,Florida,2017
12057,Hillsborough,267449,269957,205745,114243,960910,Florida,2017
12061,Indian,38078,32198,22578,12985,117106,Florida,2017
12069,Lake,81927,81256,38936,23426,253696,Florida,2017
12071,Lee,177908,164885,93624,57708,555154,Florida,2017
12073,Leon,31947,51457,45033,36567,173825,Florida,2017
12081,Manatee,82595,86429,57609,34466,287528,Florida,2017
12083,Marion,93781,75120,38463,19560,264517,Florida,2017
12085,Martin,33374,37640,26465,12157,121973,Florida,2017
12086,Miami-Dade,548006,481220,370227,205205,1961363,Florida,2017
12087,Monroe,15845,18457,13216,7122,60769,Florida,2017
12089,Nassau,,,,,,Florida,2017
12091,Okaloosa,33532,53193,27613,16054,139480,Florida,2017
12095,Orange,218678,283855,206650,101612,904404,Florida,2017
12097,Osceola,66556,88176,31021,13068,230380,Florida,2017
12099,Palm,263363,302497,241275,148666,1077100,Florida,2017
12101,Pasco,132142,120024,59193,29556,381293,Florida,2017
12103,Pinellas,211589,234493,150422,83285,746168,Florida,2017
12105,Polk,162788,153314,58551,32102,476398,Florida,2017
12107,Putnam,,,,,,Florida,2017
12109,St.,39113,43586,47799,27967,172936,Florida,2017
12111,St.,76606,68105,33155,16387,224830,Florida,2017
12113,Santa,32922,45401,21210,11792,120782,Florida,2017
12115,Sarasota,99981,92564,67421,47227,335076,Florida,2017
12117,Seminole,59609,115467,93742,41979,325935,Florida,2017
12119,Sumter,31494,34092,22984,13983,112185,Florida,2017
12127,Volusia,130936,135630,56924,33495,398400,Florida,2017
12131,Walton,13759,15651,8559,5838,50744,Florida,2017
13013,Barrow,18814,16091,6299,3269,51843,Georgia,2017
